starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:04 2023	1693741984	0	602	602	601
Sun Sep 03 19:53:08 2023	1693741988	0	602	602	601
Sun Sep 03 19:53:04 2023	1693741984	0	602	602	602
Sun Sep 03 19:53:03 2023	1693741983	0	602	602	602
Sun Sep 03 19:53:05 2023	1693741985	0	602	602	601
Sun Sep 03 19:52:59 2023	1693741979	0	602	602	600
Sun Sep 03 19:53:06 2023	1693741986	0	602	602	602
Sun Sep 03 19:53:08 2023	1693741988	0	602	603	602
Sun Sep 03 19:53:06 2023	1693741986	0	602	603	602
Sun Sep 03 19:53:04 2023	1693741984	0	602	603	602
Sun Sep 03 19:53:09 2023	1693741989	0	603	603	602
Sun Sep 03 19:53:04 2023	1693741984	0	603	603	603
Sun Sep 03 19:53:06 2023	1693741986	0	603	603	603
Sun Sep 03 19:53:09 2023	1693741989	0	604	604	603
Sun Sep 03 19:53:09 2023	1693741989	0	604	604	603
Sun Sep 03 19:53:05 2023	1693741985	0	604	604	603
Sun Sep 03 19:53:06 2023	1693741986	0	604	604	604
Sun Sep 03 19:53:00 2023	1693741980	0	604	604	604
Sun Sep 03 19:53:02 2023	1693741982	0	604	605	604
Sun Sep 03 19:53:02 2023	1693741982	0	605	605	603
Sun Sep 03 19:53:02 2023	1693741982	0	605	605	604
Sun Sep 03 19:53:09 2023	1693741989	0	605	605	604
Sun Sep 03 19:53:04 2023	1693741984	0	605	605	604
Sun Sep 03 19:53:08 2023	1693741988	0	605	606	605
Sun Sep 03 19:53:09 2023	1693741989	0	606	606	605
Sun Sep 03 19:53:01 2023	1693741981	0	605	606	605
Sun Sep 03 19:53:08 2023	1693741988	0	606	606	605
Sun Sep 03 19:53:00 2023	1693741980	0	606	606	597
Sun Sep 03 19:53:01 2023	1693741981	0	606	606	606
Sun Sep 03 19:53:03 2023	1693741983	0	606	606	606
Sun Sep 03 19:53:05 2023	1693741985	0	606	606	606
Sun Sep 03 19:53:09 2023	1693741989	0	606	607	606
Sun Sep 03 19:53:07 2023	1693741987	0	606	607	606
Sun Sep 03 19:53:09 2023	1693741989	0	607	607	606
Sun Sep 03 19:53:08 2023	1693741988	0	607	607	606
Sun Sep 03 19:52:59 2023	1693741979	0	607	607	606
Sun Sep 03 19:53:05 2023	1693741985	0	607	607	607
Sun Sep 03 19:53:04 2023	1693741984	0	607	607	607
Sun Sep 03 19:53:03 2023	1693741983	1	607	608	607
Sun Sep 03 19:53:05 2023	1693741985	0	608	608	607
Sun Sep 03 19:53:08 2023	1693741988	0	608	608	607
Sun Sep 03 19:53:05 2023	1693741985	0	607	608	607
Sun Sep 03 19:53:09 2023	1693741989	0	608	608	607
Sun Sep 03 19:53:03 2023	1693741983	0	608	608	607
Sun Sep 03 19:53:05 2023	1693741985	0	608	608	608
Sun Sep 03 19:53:04 2023	1693741984	0	608	608	608
Sun Sep 03 19:53:04 2023	1693741984	0	608	608	608
Sun Sep 03 19:53:08 2023	1693741988	0	608	609	608
Sun Sep 03 19:53:08 2023	1693741988	0	608	609	608
Sun Sep 03 19:53:03 2023	1693741983	0	609	609	609
Sun Sep 03 19:53:07 2023	1693741987	0	609	609	609
Sun Sep 03 19:53:02 2023	1693741982	0	609	609	609
Sun Sep 03 19:53:06 2023	1693741986	0	609	609	609
Sun Sep 03 19:53:07 2023	1693741987	0	610	610	609
Sun Sep 03 19:53:08 2023	1693741988	0	610	610	609
Sun Sep 03 19:53:06 2023	1693741986	0	609	610	609
