starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:50:25 2023	1693741825	0	478	478	477
Sun Sep 03 19:50:29 2023	1693741829	0	478	478	477
Sun Sep 03 19:50:28 2023	1693741828	0	478	478	478
Sun Sep 03 19:50:26 2023	1693741826	0	478	478	478
Sun Sep 03 19:50:26 2023	1693741826	0	478	478	478
Sun Sep 03 19:50:24 2023	1693741824	0	478	479	478
Sun Sep 03 19:50:25 2023	1693741825	0	478	479	478
Sun Sep 03 19:50:28 2023	1693741828	0	478	479	478
Sun Sep 03 19:50:24 2023	1693741824	0	479	479	478
Sun Sep 03 19:50:25 2023	1693741825	0	479	479	478
Sun Sep 03 19:50:31 2023	1693741831	0	479	479	478
Sun Sep 03 19:50:25 2023	1693741825	0	479	479	478
Sun Sep 03 19:50:27 2023	1693741827	0	479	479	478
Sun Sep 03 19:50:31 2023	1693741831	0	479	479	478
Sun Sep 03 19:50:25 2023	1693741825	0	479	479	478
Sun Sep 03 19:50:29 2023	1693741829	0	479	479	478
Sun Sep 03 19:50:24 2023	1693741824	0	479	479	478
Sun Sep 03 19:50:24 2023	1693741824	0	479	479	478
Sun Sep 03 19:50:27 2023	1693741827	0	479	479	479
Sun Sep 03 19:50:27 2023	1693741827	0	479	479	479
Sun Sep 03 19:50:24 2023	1693741824	0	479	480	478
Sun Sep 03 19:50:23 2023	1693741823	0	479	480	479
Sun Sep 03 19:50:29 2023	1693741829	0	479	480	479
Sun Sep 03 19:50:26 2023	1693741826	0	480	480	479
Sun Sep 03 19:50:30 2023	1693741830	0	480	480	479
Sun Sep 03 19:50:27 2023	1693741827	0	480	480	479
Sun Sep 03 19:50:24 2023	1693741824	0	480	480	479
Sun Sep 03 19:50:24 2023	1693741824	1	479	480	478
Sun Sep 03 19:50:25 2023	1693741825	0	480	480	478
Sun Sep 03 19:50:28 2023	1693741828	0	480	480	480
Sun Sep 03 19:50:26 2023	1693741826	0	480	480	480
Sun Sep 03 19:50:31 2023	1693741831	0	480	480	479
Sun Sep 03 19:50:30 2023	1693741830	0	480	480	480
Sun Sep 03 19:50:27 2023	1693741827	0	480	480	479
Sun Sep 03 19:50:29 2023	1693741829	0	480	480	480
Sun Sep 03 19:50:29 2023	1693741829	0	480	480	480
Sun Sep 03 19:50:25 2023	1693741825	0	480	480	480
Sun Sep 03 19:50:28 2023	1693741828	0	480	480	480
Sun Sep 03 19:50:31 2023	1693741831	0	480	480	479
Sun Sep 03 19:50:26 2023	1693741826	0	480	480	480
Sun Sep 03 19:50:26 2023	1693741826	0	480	480	480
Sun Sep 03 19:50:24 2023	1693741824	0	480	480	480
Sun Sep 03 19:50:31 2023	1693741831	0	480	481	480
Sun Sep 03 19:50:28 2023	1693741828	0	480	481	480
Sun Sep 03 19:50:24 2023	1693741824	0	480	481	480
Sun Sep 03 19:50:25 2023	1693741825	0	481	481	480
Sun Sep 03 19:50:22 2023	1693741822	3	478	481	477
Sun Sep 03 19:50:27 2023	1693741827	0	481	481	480
Sun Sep 03 19:50:24 2023	1693741824	0	481	481	480
Sun Sep 03 19:50:30 2023	1693741830	0	481	481	481
Sun Sep 03 19:50:31 2023	1693741831	0	481	481	481
Sun Sep 03 19:50:24 2023	1693741824	0	481	481	480
Sun Sep 03 19:50:26 2023	1693741826	0	481	481	481
Sun Sep 03 19:50:24 2023	1693741824	0	481	481	481
Sun Sep 03 19:50:28 2023	1693741828	1	481	481	480
Sun Sep 03 19:50:31 2023	1693741831	0	481	481	481
Sun Sep 03 19:50:31 2023	1693741831	0	481	481	481
Sun Sep 03 19:50:27 2023	1693741827	0	481	481	480
Sun Sep 03 19:50:28 2023	1693741828	0	481	481	481
Sun Sep 03 19:50:26 2023	1693741826	0	481	481	481
